"names","descr"
"Bienbebido Queso Tempranillo 2014 Vintae","Supple and easy-drinking yet possessing ample tannins and texture."
"Santa Rita 120 Sauvignon Blanc 2017 Central Valley","Maximum fruit character is obtained by hand-harvesting and cold fermentation of the Sauvignon grapes, and the addition of 2% Semillon helps keep the blend well-rounded. Great with Seafood and salmon."
"Leeuwenkuil Chenin Blanc 2017","This is best with light fish and shellfish dishes."
"Marques Tertiaro Gran Reservado 2011","This fabulous wine provides wines of similar quality to its more famous neighbour at a fraction of the price"
"Whiz Bang Barossa Shiraz ","This wine tastes like a  compote of ripe berries followed by spicy flavours and vanilla notes."
"The King's Thorn Pinot Gris 2015 Marlborough","Something of a thorn in the side for some winemakers, Pinot Gris requires a very measured approach in order to achieve a balance of texture, sweetness, acidity and fruit character."
"Escarpment Kiwa 2015","Already delicious this will develop further, if you can resist it, for up to 10 years."
"Aurore de Dauzac 2014","""The palate is medium-bodied with a gentle grip in the entry, fine tannin for a second wine with a sense of focus and poise on the finish."" Neal Martin - The Wine Advocate"
"Chteau de Pennautier 2015 Cabards","Rustic aromas of raspberries, mullberries and cooking spices permeate from an intensely ruby coloured wine. A firm, tannic palate of spice and dark fruits leads to a layered, dry finish."
"Verdicchio dei Castelli di Jesi 2016 Monte Schiavo","An invigorating wine with great diversity of fruit, including lemon, pineapple and lime along with ripe apricot notes. The finish has an interesting bitter almond streak."
"La Grange des Combes 2015 AOC St-Chinian-Roquebrun","A deep, lustrous and inky colour, the wine has a nose of crushed red fruit, wild herbs and a hint of smoke. The palate is rich and ripe, with a supple tannic structure and multi-layered texture."
"Les Jamelles Pinot Gris 2016","The Languedoc is gaining a reputation for breaking tradition and producing exciting wines.This Pinot Gris is aromatic with riichly oppulent flavours of lychee and lemon."
"Chteau Moulin de Curat 2014","This is a medium-bodied wine with a plush, rich feel. Good ripeness on nose and palate, with soft spice, ripe black fruit and mineral aromas."
"Rioja Blanco 2016 Marqus de Cceres","A hugely aromatic wine expressing intense flavours of apples and pears with a light floral background. On the palate a freshness and vivacity comes through with an additional handful of lavish fruit."
"Giesen Sauvignon Blanc 2016 Marlborough","A richly tropical nose. Fruit on the palate leans more toward gooseberry and citrus, with a zesty acidity."
"Mont Saint Jean 2016 Corbires","Full and fruity, with rounded tannins adding a supporting structure. Try with a cheese board."
"Geoffrey Martin St Veran","This new Domaine, founded in 2013, has produced a classic St Veran with ripe fruit flavours of peach and pear lightened by floral notes and a crisp, clean finish."
"Wakefield Jaraman Coonawarra Shiraz","Deeply flavoured this wine is created using two exceptional parcels of grapes sourced from the Clare Valley and McLaren Vale."
"Fonseca Bin 27 NV","A deep and youthful ruby colour, with an intense, fruity nose crammed with blackberry, cassis, cherry and plum aromas. The palate full-bodied and round, with a luscious, velvety texture."
"Craggy Range Te Kahu 2013 Gimblett Gravels, Hawke's Bay","Te Kahu means 'the cloak', and is the Maori name for the mist that envelops this valley. The Gimblett Gravels vineyard's unique location creates the warmest vineyard area in New Zealand."
"Valle Antigua Cabernet Sauvignon 2017","This is a classic Chilean Cabernet with bold flavours of blackcurrant and damson.  It is juicy and well balanced with a delightfully soft finish."
"Casal de Ventozela Alvarinho 2016","This is great with any seafood especially if cooked with a touch of chilli."
"Saint Clair Pioneer Block Chardonnay 2016 Marlborough","The New Zealand trademarks of fresh and snappy peach and tropical fruits are finished with a wonderfully generous texture and a biscuity edge. Rich, with plentiful amounts of pure, tropical fruit."
"The Ned Noble Sauvignon Blanc 2015 Half Bottle","As seen on TV. Intensely sweet, yet balanced with a mixture of crisp citrus and fresh melon flavours, and as such, never cloys."
"Soave Classico 2016 Inama","This 'Classico' is from lower yields and the best volcanic slopes in the region, engendering a wine with a delicious floral fruitiness, great balance and freshness."
"Waimea Estate Pinot Noir 2016 Nelson","Luscious dark cherry, blossom fruits, silky soft tannins, and a generous mouthfeel. Partner to red meat and game dishes or mushroom flavoured sauces."
"Charmes De Kirwan 2010","nd wine of famous Margaux property Chateau Kirwan,  ever produced.  It is remarkably round and fleshy with extremely powerful fruit flavours of blackcurrant and plum."
"Tignanello 2014 P. Antinori","Long and lingering with chocolate, coffee and marmalade in the aftertaste, beautifully handled tannin from the wine and wood blend make Tignanello a very complex, stylish and sophisticated wine."
"Chteau Montviel Pomerol 2002","Now fully mature and drinking beautifully this classic Pomerol exhibits tonnes of plum and red berry fruit with pronounced notes of cedar and spice"
"Gewrztraminer 'Les Princes Abbs' 2015 Domaines Schlumberger","An intense nose of rose petals, oriental spice and tropical fruit. Gently off-dry, with a round and mellow texture, balanced by a burst of acidity and a peppery note on the finish."
"Rioja Reserva Imperial 2012 CVNE","Fine garnet in colour with terracotta tinge, this wine conveys vanilla notes on the nose, with sloes, mulberries and spice. On the palate there is stewed currant fruit leading to a fine long finish."
"Pedro Ximenez Triana Hidalgo","Aromas of raisins, molasses, figs, toffee, caramel, nuts, the palate is incredibly thick, dense, massive concentration and unsurpassed sweetness and prolonged length."
"Definition Beaujolais Villages 2016","Our Beaujolais Villages, from the superb 2016 vintage. Find flavours of raspberry, candy floss and black cherry."
"Yalumba Y Series Viognier 2016 South Australia","This is a full-bodied dry white, with a gorgeously perfumed floral scent and a ripe, peach and apricot fruit, with a silky palate-feel. Enjoy with a light pasta flavoured with herbs."
"Cloudy Bay Pelorus NV","From a Chardonnay-dominant blend of selected vintages, this is a fresh, apritif style of sparkling wine. Crisp apple flavours are backed up by a nutty, yeasty complexity from its time on lees."
"Saint-Vran 2016 Domaine Thibert Pre et Fils","Elegantly oaked, with citrus, peach and pineapple fruit. Hints of vanilla and toast. This is a wine with a slightly creamy body to it and an impressive intensity and length."
"Montes Single Vineyard Chardonnay 2015","This will be a fine accompaniment for a roast chicken."
"Balfour 1503 Brut NV England","Refined in structure, with a finely beaded mousse and pale pink highlights."
"Lay and Wheeler Rioja Gran Reserva 2008","From our sister company Lay and Wheeler, this fabulous Gran Reserva from one of the most prestigious Rioja producers at a fabulous pric"
"Bourgogne Pinot Noir 2015 Louis Latour","A fine example of Pinot Noir at this price with plenty of soft ripe blackberry and raspberry fruit. A versatile and easy-drinking wine that goes well with grilled meats and ham, terrines and ptes."
"Nord Est Vermentino 2016 Cantina del Vermentino","This is a light, refreshing and dry wine.  Straw in colour with flavours of lemon and almond."
"Ctes du Rhne Villages Blanc 2016 Laudun, Pierre-Henri Morel","This is a full flavoured wine with a long mineral finish."
"Chteau Coufran 2006 Haut-Mdoc Cru Bourgeois Suprieur","This wine has a soft, fleshy and ample feel, combining soft bramble and ripe plum flavours with smooth tannins. Subtle cedar and leaf aromas complete the picture."
"Lady Sauvignon 2016 Casablanca Valley","Lithe and lively Sauvignon Blanc that showcases Casablanca's trademark style - Invigorating tropical fruit."
"La Grille Pinot Noir Ros 2016 Vin de France","This soft, subtle ros displays nuances of strawberry, raspberry, redcurrant and loganberry and is light in body, leaving a crisp refreshing finish."
"La Vieille Ferme 2016 Perrin et Fils","Mea A warm, elegantly structured, spicy red with intense jammy blackberry fruits, strawberry hints and soft tannins. A great quality red and a fantastic companion for meats and cheeses."
"Vinhas Do Silvado Tinto","This fab wine has plum, cherry and bramble flavours in abundance!"
"Martinborough Vineyard Te Tera Pinot Noir 2014 Martinborough","The nose displays succulent ripe cherry, berry and plum fruits combined with savoury notes and a hint of mocha."
"Greywacke Wild Sauvignon 2015 Marlborough","A succulent combination of yellow peach and brown pears, rolled into rich, short pastry with a sprinkling of a caramelised almonds. The palate is full of lemon curd and vanilla custard."
"Penfolds Bin 389 2015","The 2015 Cabernet Sauvignon/Shiraz Bin 389 South Australia has a bombastic nose of crushed blueberries and black currants."
"Taylor's Quinta de Vargellas 2004","Concentrated spicy aromas of raisin, spices, and currant. Perfect with a cheese platter."
"Montes Twins 2015 Colchagua Valley","Montes Twins is a ripe, velvety red hailing from Chile's Colchagua Valley. With a blend of Cabernet Sauvignon, Syrah, Carmenre and Tempranillo - there's a lot going on!"
"Vereto Salice Salentino 2013 Agricole Vallone","Deep and intense ruby-purple, with an intensely fruity aromatic profile, supported by savoury balsamic and spice notes. Firm palate texture provides good length. Perfect with lamb."
"Valle Antigua Chardonnay 2017","This fine Chardonnay has fresh flavours of ripe apple and citrus enhanced by notes of vanilla from ageing in French oak."
"Louis Latour Pouilly Vinzelles","A clean, fresh wine displaying honey and stone fruit aromas. Sweet honey and floral characters are in abundance on the palate and create a fine and elegant complexity."
"Definition Chenin Blanc 2017","This wine has a rich pear and peach"
"Ctes-du-Rhne Blanc 2016 Lon Perdigal","An approachable wine with medium intensity and a gently complex nose of pear, white peach and delicate honeysuckle scents. A rounded palate with a pleasing balance between roundness and crisp acidity."
"Definition Pinot Grigio 2016","Our Pinot Grigio, from Fruili, the spiritual home of Pinot Grigio.  Taste lemon, peach and minerality, and a lovely steely finish."
"Devil's Creek Pinot Noir","The Devil's Creek is stunning value and packed with lush fresh red fruit flavours that are deep and intense"
"Chteau Musar 1999 Gaston Hochar","An exceptional vintage, 1999 produced a wine with plenty of power, richness and concentration."
"Barbera dAlba Villa de Forville 2016 De Forville","Produced from the Barbera grape, from vines over 40 years old, it reveals concentrated dark fruits on the nose, soft tannins and lively acidity."
"Chronic Cellars Eunice X 2015","Complex layers of mango, pear, and honey dew are complimented by a hint of oak."
"Kangarilla Road Primitivo 2015","Hurry! When it's gone, it's gone - wigig. Exuberant flavours of fruit cake, stewed rhubarb and scents of wild herbs - a wine not to miss."
"Les Pagodes de Cos 2009 St-Estphe","""...a heady, fleshy personality. Already drinkable, it should evolve well for a decade"". 88 points. Robert Parker, The Wine Advocate (2006)."
"Planeta Chardonnay 2015","This is a supremely balanced wine, with soft butterscotch and ripe banana fruit over subtle oak characters and a precise, linear finish that lingers in the mouth."
"Chteau La Sauvageonne Ros 2016 Cteaux du Languedoc","One of Grard Bertrand's best ross from the simply stunning Chteau La Sauvageonne in the Languedoc."
"Dourthe Rserve Sauvignon Blanc 2016 Bordeaux Blanc Sec","Aromatic and concentrated, with fresh citrus combined with notes of passion fruit, a crisp acidity and lovely structure with a long and persistent finish."
"Torresilo 2015 Cillar de Silos, Ribera del Duero","Torresilo is a powerful old-vine Tempranillo from Ribera's finest vineyard plots."
"Ptalos Bierzo 2015 Descendientes de J. Palacios","One of 9 children of the owner of Rioja house Bodegas Palacios Remondo, Alvaro Palacio has broken away from Rioja to pursue an independent winemaking philosophy."
"Jackson Estate 'Stich' Sauvignon Blanc 2016 Marlborough","Elegant and vibrant nose of passionfruit, ripe citrus and hints of elderflower, a resonant palate with gooseberries,rhubarb and mineral notes, great texture and long finish."
"Rustenberg Sauvignon Blanc 2016 Western Cape","This Sauvignon Blanc has echoes of white Bordeaux, with its 5% Semillon adding a streak of complexity and additional body to the blend."
"Pizarras de Otero 2015 Bierzo","A deep cherry red with violet reflections. Lively on the nose, with aromas of strawberry, plum and blackberry, and subtle floral lift. The fruit-filled palate has elegant and restrained tannins."
"Royal Tokaji Late Harvest 2015","The nose is more delicate than many a Tokaji, with aromas of ripe peach, exotic fruit and blossom. Moderate palate weight, with a fine balance of intense sweetness and acidic lift."
"Mister Shiraz 2016 Colchagua Valley","Deep crimson colour with hints of violet. The nose is a complex mixture of plum and strawberry, with vanilla and cedar scents from French and American oak. A voluminous, muscular palate."
"Leeuwenkuil Shiraz 2016","Made with out the use of oak this is a bright and fruity Shiraz with flavours of"
"Barolo 2012 Natale Verga","An inviting garnet colour, this wine offers a blackberry bouquet, accented with persistent notes of rose petal and subtle wood smoke. A warming palate with undertones of spice and graphite."
"Valle Antigua Sauvignon Blanc 2017","This is a bright, fresh and fruity wine with citrus and green apple flavours in abundance.  Additional complexity and richness is added by a period of lees aeing."
"St Aubin 1er Cru Les Cortons 2015 Hubert Bouzereau","Fine and elegant flavours of citrus, stone fruit and apple are followed by a slightly smoky finish."
"Champ Libre Rose d'Anjou 2016","This pretty and delicate wine is an exceptional expression of Loire Valley ros.  With an abundance of red fruit flavours it make the perfect aperitif especially on a hot, sunny day."
"Chteau Guiot Ros 2015 Costires de Nmes, France","Perfume, red berries, spice, summer berries and blossom aromas with an off-dry, medium weight of fruit, clean and mineral acidity and a vibrant sweet redcurrant  finish."
"Finca Dofi 2013 Alvaro Palacios, Priorat","The blend is 96% Garnacha and 4% Samso. The wine in rich and smooth with real presence and charm."
"Chablis 1er Cru Fourchaume 2016 Sguinot-Bordet","A focused nose of stone and citrus fruits, with smoky, mineral notes and very subtle oak. Great purity on the palate, with the mineral streak adding texture and length. Ideal as an  apritif"
"Balfour 1503 Ros NV England","A delicate and inviting rose petal pink,  with a finely beaded sparkle."
"The Cup And Rings Albario Sobre Lias 2013/2014 Valedorras","This complex wine has aromas of green mango and dried apricot with notes of eucalpytus and spice. The palate is full yet fresh with tropical fruit flavours and a long saline finish."
"Definition Claret 2012","Like stilton and stout, Claret can take a bit of getting used to, but once you have your Bordeaux epiphany youll never look back. The perfect wine for Sunday lunch."
"Chteau La Rame 2015 Ste-Croix-du-Mont, 50cl","A golden hued wine exudes aromas of ripe stone fruits, candied summer fruits and honey. Luxurious sweetness and spicy vanillin characters layer and coat the palate before a clean and fresh finish."
"Araldica Fazzoletto Passito 2016"," Made from high-quality grapes that remained on the vine an extra month  to impart a rich, round structure  this red is truly one-of-a-kind."
"Touraine Chenonceaux 2016","Chenonceaux is a new AOC (since 2011)producing white wine from Sauvignon Blanc"
"Echo de Lynch-Bages 2010 Pauillac","The soft and engaging plummy nose leads on to a silky texture, velvety tannins providing the frame for the fresh blackberry fruit to express itself."
"Winemaker Series Chardonnay","The Chardonnay has a rich textured palate of pear, white peach and bright citrus notes is tickled gently with honey aromas for a layered, complex sip"
"Bardolino 'Naiano' 2016 Allegrini","As seen on TV. Straightforward and unmistakably Italian, this Bardolino is bright ruby red, with a freshness of fruit and a slender frame."
"Acacia Road Pinotage","South Africa has made Pinotage its own and this delicious wine is a stunning example with ripe red cherry  and dark plum flavours creating a lovely palate with smoky undertones."
"Croft LBV 2011","Ready to drink - full bodied and bursting with ripe blackcurrant flavours."
"Klein Constantia Sauvignon Blanc 2016 Constantia","A light green appearance with ripe tropical aromas of pineapple and passionfruit. The palate is classically Sauvignon with its racy acidity and the finish is clean and refreshing."
"Conde de San Cristobal 2014 Ribera del Duero","A rich, generous yet elegant wine, displaying intense flavours of ripe blackcurrant and summer fruits, accented with hints of exotic spice. Plush and silky, with a long, involving finish."
"Arraigo Benegas Old Vine","Benegas Old Vine has powerful cassis flavours, ripe plum and spicy oak notes yet retains a clean refreshing acidity. Delicious!"
"Domaine Compatelle Pomerol 2011","Now hitting maturity notes of herbsand spice are emerging and the tannins are fully integrated and sof"
"Villa Maria Private Bin Gewrztraminer 2016 East Coast","The nose is brimming with classic aromas of lychees and spice, which follow through to the full bodied, fruity palate. Low acidity levels give the wine a rich and soft, almost off dry finish."
"La Garnacha 2015 Salvaje del Moncayo","Powerful aromas of wild berries and tobacco leaf are tempered by a sense of freshness and floral edges. The middleweight palate has ripe red fruit and a Burgundian minerality."
"Alamos Lujan De Cuyo Cabernet 2016","There is lots of balckcurrant and bramble fruit flavours in the concentrated and silky wine.  The purity of fruit is enhanced by a slight woody note on the finish."
"Rustenberg Straw Wine 2015 Coastal Region","This wine is named because it is made in the 'passito' method, where the harvested grapes are laid out on straw mats and allowed to dry for around 4 weeks, concentrating the sugars. Great with pears."
"Sunny Gruner Veltliner Laurenz 2015","This is a white with decadent levels of spicy flavour. Created by Lenz Moser, a fifth-generation winemaker. Its an electrifying pulse of citrus and pepper spice"
"Carlino Bianco 2016","""This crisp and fresh white from Italy offers exceptional value for money. Delicate with flavours of citrus and apple this is an refreshing wine that can be enjoyed on almost any occasion."""
"Duc de Belmont Cteaux Bourguignons 2015 Loron et Fils","A light-to-medium-bodied red wine, crammed with vivid flavours of ripe redcurrant, blackberry and raspberry, all framed by rounded tannins and gentle perfumed notes."
"Pinot Gris Grand Cru Spiegel 2014 Domaines Schlumberger","A wine of great texture and depth of flavour, this Pinot Gris is at once youthfully vibrant, harmonious and mature. The palate is full of ripe white fruit, with finely balanced sweetness and acidity."
"Mon Plaisir de la Vallee Cabernet Franc 2015","""This fresh and vibrant red is stuffed with blackberry and blackcurrant flavours and a spicy finish.  It will make a ideal summer red to enjoy with a BBQ or even the Sunday Roast."""
"Rioja Rosado 2016 Marqus de Cceres","An attractive, pale pink colour with a pleasant bouquet of strawberries and raspberries mingling with fresh, floral notes."
"Chianti Classico Riserva 2013 Villa Antinori","On the palate, the wine is immediately vibrant and very territorial in character."
"Waimea Estate Grner Veltliner 2016 Nelson","An inviting golden colour, this is a fresh and crisp wine with a little extra richness."
"Dolcetto dAlba 2015 De Forville","Bright ruby in colour, with an expressive nose of youthful fruits. Rich, dark cherries and liquorice on the palate and a fresh finish."
"Royal Tokaji Dry Tokaji 2015","This makes a great aperitif but will also compliment seafood and white meats."
"Domaine Pardon Julienas 2016","From a Cru in the south of Beaujolais this is a silky wine ripe with flavours of cherry, plum and spice."
"Shaw and Smith M3 Chardonnay 2014 Adelaide Hills","This beautiful Chardonnay gets better with each vintage. Its a gorgeously subtle white wine with a core of lemony fruit and just a hint of very smart, powdery oak. Max Allen, The Weekend Australian"
"Cuve Diane 2012 Vialba, Mendoza","A rich and inviting wine that hints at Herv's Bordeaux background, this blend is full of dark fruit and spice aromas, and has a wonderful palate complexity. Perfect with beef."
"Croft Reserve Tawny","Combining the rich character of an aged tawny with ready-to-drink smoothness and spice."
"Domaine Begude 'Le Paradis' Viognier 2016 Haute Valle de L'Aude","Delicate and aromatic this Viognier has fine flavours of peach and apricot with a slight touch of spice balanced by a refreshing acidity."
"Muscadet de Svre et Maine Sur Lie 2016 Domaine de la Tourmaline","With ripe fruit aromas, a pleasant richness and fine minerality, this is a classic Loire white. Bottled with a slight natural spritz to help retain freshness. Partner with seafood or oriental cuisine."
"Gran Volante Tinto 2016","Made for us by Norrel Robertson MW this is a blend of old vine Garnacha, Alicante and Tempranillo that is rich and smoky with dark fruit flavours and notes of Mediterranean herbs."
"Vasse Felix Cabernet Sauvignon 2014","Cabernet is a robust variety ideally suited to Margaret River's climate and deep, well drained soils."
"La Canoa 12YO Palo Cortado","An absolute gem of a sherry!The body is rich but with a surprising elegance. The palate is dry, displaying flavours of vanilla, caramel and butterscotch with a clean citrus finish."
"Henriques & Henriques 3 Year Old Full Rich Madeira","Lucious, rich, sweet and fragrant this is full of intense flavours of dried fruit and caramel."
"Masi 'Campolongo di Torbe' Amarone Classico 2011","Vinified in the traditional 'appassimento' style, where grapes are partially raisined before a lengthy fermentation period. Undergoes 3 years in oak casks, and 6 months in bottle before release."
"Taylors Quinta de Terra Feita 1999/2001","A beautifully concentrated Port with lush aromas of violets and black fruit flavours redolent of figs, plums and spice. The full flavour really comes through on a palate of ripe cherries and plums."
"Errazuriz Single Vineyard Sauvignon Blanc 2016 Casablanca Valley","As seen on TV. Freshly cut grass aromas complement those of green apple and pineapple, crisp acidity lends freshness to the intense and invigorating palate. The finish is dry and refreshing."
"Puligny Montrachet 1er Cru Champ Gains Chavy 2014","The palate is elegant on the entry, that leitmotif of bitter lemon coming through, good density with a brisk finish that will hopefully develop more persistency as it matures in bottle"
"Chteau Musar 2006 Gaston Hochar Magnum","An unusual wine produced by master winemaker Serge Hochar. Concentrated and rich with plums, liquorice and spice. Musar is a fabulously different wine, very powerful but with plenty of finesse."
"Massey Dacta Sauvignon Blanc 2016 Marlborough","Mouthwatering and juicy, this is typical of Marlborough Sauvignon."
"Domaine Reverdon Brouilly 2016","This light bodied red has vibrant flavours of strawberry, cherry and redcurrant.  It is soft and rounded with a delicate, fresh finish."
"Rully Rouge ""En Rosey"" 2015 Maison Chanzy","This wine is stuffed full of bright red fruit flavours, think cherries and redcurrants, with a fine firm tannic structure and balancing acidity that makes it a great foil for all manner of food."
"Greywacke Pinot Noir 2014 Marlborough","A virtual compote loaded with black plums and redcurrants lightly infused with cinnamon and cloves. An intensely perfumed Marlborough Pinot with fruit sweetness and floral highlights."
"Rustenberg Peter Barlow Cabernet Sauvignon 2011 Stellenbosch","A deep, multi-layered wine, with a bold and up-front character and velvety texture from 20 months in French oak barriques. Concentrated cassis and black cherry, with subtle herbaceous notes."
"Bourgogne Chardonnay Thibert","Elegantly oaked, with citrus, peach and pineapple fruit. Hints of vanilla and toast. This is a wine with a slightly creamy body to it and an impressive intensity and length."
"Winemaker Series Ros 2016","This wine comes from Christophe Mongeot, the man behind our top selling Minuty, who arguably set the trend for paler pink ros. Pale and delicate with fresh red fduit flavours."
"Toms Postigo 2014 Ribera del Duero","Grapes are sourced from several local vineyards, to create this opulent blend of Tempranillo, Cabernet Sauvignon and Merlot, aged for 12 months in new French oak. Bottled unfiltered."
"Black Cottage Pinot Gris 2016 Marlborough","The palate is awash with flavours of stone fruit, ginger and retains a hint of natural sweetness."
"Springfield Special Cuve Sauvignon Blanc 2016 Robertson","Distinct minerally undertones are covered with layers of luscious passion fruit flavours, together with gooseberry and citrus fruit and very fresh acidity. Enjoy as an apritif or with seafood."
"Saint Bris Marsigny ","From the only AOP in Burgundy that allows Sauvignon this fresh and crisp white has intense flavours of citrus and exotic fruits with herbal notes"
"Aglianico Terre di Orazio","The fully flavoured palate has notes of dark cherry, redcurrant and plum with a long dry finish."
"Porcupine Ridge Syrah Viognier 2015 Western Cape","Rich and smooth on the palate with rich plum flavours, some spice and floral notes. The ideal partner to full flavoured meat dishes including pork and venison."
"Lay & Wheeler Cote d'Or Les Charmes","Selected by our sister company and fine wine specialist, Lay & Wheeler, from a renowned producer in Puligny Montrachet this posses great intensity and length with fine citrus and apple flavours."
"A Sticky End Noble Sauvignon Blanc Half Bottle","Enticing and expressive on the nose, which offers ripe peach and lychee and fig, alongside subtle nutty notes. Intensely concentrated flavours of honey and ripe nectarine with a citrus lift."
"Bodega Volcanes Carmenere 2015","This abundantly fruity expression of Carmenere possesses dark fruit flavours heightened by rich notes of chocolate and subtler notes of spice, herbs and olives."
"Blind River Tekau Sauvignon Blanc 2015 Awatere Valley","The palate offers great depth, combining the citrus fruit with subtle brioche and hazelnut, and has a creamy finish."
"Chteau Pierrousselle 2015","""This medium to full-bodied, rich, intensely smoky wine is unquestionably the wine of the vintage for Graves."" Robert Parker, Bordeaux Book 3rd Edition, 93 points."
"Lay & Wheeler St Emilion 2014","Chteau du Rocher, a 15th century estate, Sourced by the legendary Thienpont family."
"Bourgogne Chardonnay 2015 Nicolas Potel","The classically citrus-led nose also offers notes of marzipan and acacia flowers. Initially straightforward and nicely rounded on the palate, with an almondy complexity on the finish."
"Brown Brothers Orange Muscat and Flora Half Bottle","Aromas of orange blossom, fresh citrus and spice, with a textured and rich palate, a crisp acidity balances the sweetness of the palate and leads on in a zesty finish. Great with poached pears."
"Noe 30-Year-Old Pedro Ximenez Gonzalez Byass","Thick, sticky, luscious and viscous, this sherry is super-sweet yet hugely complex and involving. Flavours of dates, cinnamon, clove, treacle and caramel combine like, liquid Christmas pudding."
"Porcupine Ridge Chenin 2016","This is a stunning value wine from maverick winemaker Marc Kent - the man behind the much loved Chocolate Block. Expect vibrant peach and nectarine flavours with a hint of pineapple."
"Santa Rita Medalla Real Chardonnay 2016 Leyda Valley","The nose offers good ripeness, with citrus aromas turning to a softer, more apple and stone fruit character. Weighty and creamy on the palate."
"Days of Summer 2016 Miguel Torres, Itata Valley","As seen on TV.This is a summery wine full of bright and juicy white grape, floral and gently tropical aromas."
"Manzanilla Pasada Pastrana NV Hidalgo","An intense nose of apple skins and nuts leads on to a palate characterised by classic notes of almonds, orange peel and a salty twang. Should be served chilled as a stunning apritif."
"La Marotte","This is a fantastic every day Bordeaux that is sweet and plummy with some spicy notes on the finish.  Red fruit flavours dominate this extremely drinkable wine."
"Aresti 'Trisquel' Altitud Merlot 2015","Warmed by high solar radiation and tempered by icy mountain breezes the Trisquel is unlike any Merlot youll have tried before."
"Kangarilla Road Chardonnay 2016 Adelaide Hills","Lively citrus and zest flavours together with light tropical fruits and white peach, displaying tight acidity on the superbly balanced palate and a great length of flavour."
"Xanadu Exmoor Chardonnay","Rated as one of the 100 best Australian wines by Matthew Jukes this is a modern style of Chardonnay with oak playing a supporting roles to fresh flavours of pear, white peach and citrus."
"Definition Medoc Claret","Like stilton and stout, Claret can take a bit of getting used to, but once you have your Bordeaux epiphany youll never look back. The perfect wine for Sunday lunch."
"Cortese 2017 Araldica, Piemonte","A pale, light-bodied and crisp white, full of racy citrus flavours alongside softer notes of apple and pear, and subtly verdant nettle-like aromatics."
"Parcel Series English Fizz","This parcel of wines has been ageing gracefully in the cellar of one of England's greatest wine estates."
"Route 88 White Zinfandel 2015","Bright coral in colour, with a delicious hint of sweetness, offset by a tangy acidity. The intense cherry and raspberry fruit burst enthusiastically onto the palate, with a fine natural spritz."
"Chteau Musar 1998 Gaston Hochar","The 1998 Chateau Musar is a rather prototypical Musar  lots of acidity, some brett, fine structure."
"Royal Tokaji 5 Puttonyos 2013 Hungary","A medium amber colour with a nose of orange peel, figs and cinnamon. The sugar on the palate is well-balanced by the fine acidity, leading to a clean, refreshing finish. Great with poached pears."
"Commanderie de Peyrassol Ros 2016 Ctes de Provence","This dry ros has a spicy warmth to the fruit, lifted by refreshing acidity and a peachy edge. Notes of strawberry predominate, with background notes of white pepper."
"Heggies Chardonnay 2013 Eden Valley","The careful handling of oak means this wine has a subtle toasty character which mingles well with the ripe apple and pear fruits. A creamy roundness completes the finish."
"Rioja Reserva 2012 Marqus de Vargas","A rich, dense and deeply coloured Reserva, combining aromas of bramble and wild strawberries with hints of liquorice and savoury-sweet spice. Velvety, full and well balanced."
"Paul Mas Cote Mas Pezenas","This is a rich and luscious wine abounding in flavours of plum, blackcurrant, dark cherry and herbs."
"Domaine de la Metaeirie d'Alon Solaire Pinot Noir 2015","Pair cold winter nights with a generous glass of this Languedoc dream for unwinding at its finest or marry with turkey for mouthwatering delight"
"Los Vascos Cabernet Sauvignon 2015 Domaines Baron de Rothschild, Colchagua","Classic and pure Cabernet, with well-defined notes of cherry, blueberry and plum on the nose, with hints of bay leaf and clove adding subtle depth."
"Brancott Estate Pinot Noir 2016 Marlborough"," Bright red cherries and summer berries characterise the fruit, highlighted by aromas of dried herbs. The sweetness of the fruit is balanced by firm tannins."
"Chteau Chantalouette 2014  Pomerol","Open and expressive,an extremely attractive proposition for lovers of a more traditionally styled Pomerol."
"Lastarria Merlot 2016","The oak ageing adds a touch of spice to the finish. Best with pork or with pasta with tomato based sauces."
"Abbotts & Delaunay Mourvedre","The Mouvedre is deep and intense with black fruit flavors to the fore. For such a rich wine the finish is surprisingly smooth and fresh with notes of spice."
"Mon Plaisir du Sud Blanc 2016","Refreshing and tangy this blend of Vermentino and Sauvignon Blanc has flavours of crisp apple and citrus.  Look no further for exceptional value summer drinking."
"Stella Alpina Pinot Grigio 2016 Alto Adige","A rich, pure palate of peach, melon and pear fruit with the crispest of finishes. This wine will marry well with fresh tomato salads and seafood dishes."
"Bourgogne Cte Chalonnaise 2014 La Buxynoise","With just 3% of the blend fermented in new oak, this is a fresh and crisp Chardonnay with a focus on golden apple and citrus flavours, with very subtle texture and toastiness."
"Vouvray Grande Anne 1989 Marc Brdif","This wine offers an intense peach and honey soft sweetness balanced by a crisp lemon finish. A classic example of medium-sweet Chenin Blanc. Ideal with rich pate or as an apritif."
"Fonseca Porta Bin 27 Single Bottle Port Gift Set with Glasses","Bin 27 is a reserve Port, made using the same approach to making a late-bottled vintage, with extended wood ageing making the wine ready to drink upon its release"
"Coney Pizzicato Pinot Noir 2016 Martinborough","Ripe cherry, black fruits and smoky, savoury overtones with plum and pomegranate fruits meet spicy, toasty, complex flavours complemented by integrated chewy tannins and a long, savoury finish."
"Cte de Nuits-Villages 2014 Nicolas Potel","The classic Pinot Noir nose of ripe red berries, with some darker hints of blackberry and liquorice. Lipsmacking acidity."
